[ INFO ] Sending message (size: 250 bytes)...
[ DEBUG ] Refilling buffer (startSeq: 0, amount: 250)
[ DEBUG ] Last seq in buffer: 249
[ INFO ] Sent packet (seq: 91, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 92, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 93, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 94, data: q, timer: 72358253682000)
[ INFO ] Sent packet (seq: 95, data: u, timer: 72358253682000)
[ INFO ] Sent packet (seq: 96, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 97, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 98, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 99, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 100, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 101, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 102, data: ), timer: 72358253682000)
[ INFO ] Sent packet (seq: 103, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 104, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 105, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 106, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 107, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 108, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 109, data: B, timer: 72358253682000)
[ INFO ] Sent packet (seq: 110, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 111, data: f, timer: 72358253682000)
[ INFO ] Sent packet (seq: 112, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 113, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 114, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 115, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 116, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 117, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 118, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 119, data: t, timer: 72358253682000)
